bin_index,bin_lower,bin_upper,bin_center,sample_count,accuracy,mean_confidence,calibration_gap,model_name,crop,subset_name,is_calibrated
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_b_external,False
3,0.2,0.30000000000000004,0.25,0,0.0,0.0,0.0,Chilli,Chilli,track_b_external,False
4,0.30000000000000004,0.4,0.35000000000000003,6,0.0,0.3825085461139679,0.3825085461139679,Chilli,Chilli,track_b_external,False
5,0.4,0.5,0.45,23,0.30434781312942505,0.467864453792572,0.16351664066314697,Chilli,Chilli,track_b_external,False
6,0.5,0.6000000000000001,0.55,28,0.4285714328289032,0.5470979809761047,0.11852654814720154,Chilli,Chilli,track_b_external,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,19,0.42105263471603394,0.6432518362998962,0.2221992015838623,Chilli,Chilli,track_b_external,False
8,0.7000000000000001,0.8,0.75,25,0.5600000023841858,0.7511113882064819,0.19111138582229614,Chilli,Chilli,track_b_external,False
9,0.8,0.9,0.8500000000000001,13,0.9230769276618958,0.8408184051513672,0.08225852251052856,Chilli,Chilli,track_b_external,False
10,0.9,1.0,0.95,6,0.6666666865348816,0.9294139742851257,0.26274728775024414,Chilli,Chilli,track_b_external,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,track_b_external,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,track_b_external,True
3,0.2,0.30000000000000004,0.25,0,0.0,0.0,0.0,Chilli,Chilli,track_b_external,True
4,0.30000000000000004,0.4,0.35000000000000003,10,0.10000000149011612,0.36844363808631897,0.26844363659620285,Chilli,Chilli,track_b_external,True
5,0.4,0.5,0.45,35,0.34285715222358704,0.4576490819454193,0.11479192972183228,Chilli,Chilli,track_b_external,True
6,0.5,0.6000000000000001,0.55,27,0.4444444477558136,0.548323929309845,0.10387948155403137,Chilli,Chilli,track_b_external,True
