evaluation_track,crop,true_label,predicted_label,count,mean_confidence,max_confidence,example_file
TRACK_C_REALWORLD,Sugarcane,Healthy Leaves,Brown Spot,7,0.7045528377805438,0.9923345446586609,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\sugarcane\Healthy Leaves\sc_field_S_H-3-_jpg.rf.e7b97170effc9e607e1dd489cb686ef5.jpg
TRACK_C_REALWORLD,Grape,Downy Mildew,Esca (Black Measles),7,0.7780412094933646,0.9315900802612305,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\grape\Downy Mildew\gldd_field_image52_jpeg_jpg.rf.03502a187ccd04c2cf7a9e1c394f0cbc.jpg
TRACK_B_EXTERNAL,Grape,Healthy Leaves,Black Rot,6,0.763162632783254,0.940321683883667,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Healthy Leaves\plantdoc_Grolleau_noir_leaves.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Bacterial_spot,Tomato___Late_blight,6,0.8037215073903402,0.9996702671051025,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Bacterial_spot\plantdoc_10-3-bacterial-speck-on-tomato-RON.jpg
TRACK_C_REALWORLD,Tomato,Tomato___Septoria_leaf_spot,Tomato___Late_blight,6,0.5737538039684296,0.8751394152641296,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_636227737977191231-septoria-leaf-spot-VT.jpg
TRACK_B_EXTERNAL,Grape,Downy Mildew,Powdery Mildew,6,0.8649828632672628,0.9859970808029175,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Downy Mildew\gldd_5602331-PPT_jpg.rf.1609eaa2e436930c4fa4b21e1ba26442.jpg
TRACK_C_REALWORLD,Sugarcane,Healthy Leaves,Mosaic / Viral Disease,6,0.7458226134379705,0.9908279180526733,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\sugarcane\Healthy Leaves\sc_field_S_H-29-_jpg.rf.59a48f7060f1369d7cb39a3bf045ecb6.jpg
TRACK_C_REALWORLD,Tomato,Tomato___Late_blight,Tomato___Early_blight,6,0.8772905568281809,0.9871177077293396,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Late_blight\pd_real_70.jpg
TRACK_D_CROSS_CROP,Grape,Cross-Crop: Tomato,Downy Mildew,6,0.7534807523091634,0.9759889841079712,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Leaf_Mold\a6a109c7-b0f1-4475-8b50-22681c59a909___Crnl_L.Mold 6551.JPG
TRACK_D_CROSS_CROP,Grape,Cross-Crop: Tomato,Powdery Mildew,6,0.7598819037278494,0.9723601341247559,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Septoria_leaf_spot\0806cabf-f026-43bd-a508-0e8e5a185341___Matt.S_CG 1266.JPG
TRACK_D_CROSS_CROP,Sugarcane,Cross-Crop: Grape,Smut,6,0.6839013199011484,0.9943079352378845,D:\CropDiseaseProject\grape_2024\healthy\healthy008.jpg
TRACK_D_CROSS_CROP,Tomato,Cross-Crop: Grape,Tomato___Septoria_leaf_spot,6,0.8741080661614736,0.9680174589157104,D:\CropDiseaseProject\grape_2024\healthy\healthy008.jpg
TRACK_A_INTERNAL,Sugarcane,Yellow Leaf Disease,Mosaic / Viral Disease,6,0.6921137571334839,0.9929468035697936,D:\CropDiseaseProject\sugarcane_maharashtra\Yellow\yellow (378).jpeg
TRACK_C_REALWORLD,Tomato,Tomato___Tomato_mosaic_virus,Tomato___Late_blight,6,0.937126100063324,0.9991710186004639,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_mosaic_virus\pd_real_D_29AlfMov.jpg
TRACK_D_UNRELATED,Sugarcane,Unrelated / Non-Leaf,Mosaic / Viral Disease,5,0.68977370262146,0.8968814015388489,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_d_unrelated\building.jpg
TRACK_D_UNRELATED,Tomato,Unrelated / Non-Leaf,Tomato___Late_blight,5,0.8772454023361206,0.9956642985343933,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_d_unrelated\chessboard.png
TRACK_D_UNRELATED,Sugarcane,Unrelated / Non-Leaf,Yellow Leaf Disease,5,0.6857605576515198,0.9736058115959167,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_d_unrelated\baboon.jpg
TRACK_D_CROSS_CROP,Grape,Cross-Crop: Chilli,Black Rot,5,0.7237325608730316,0.9066929221153259,D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4053.JPG
TRACK_C_REALWORLD,Chilli,murda complex,healthy,5,0.45562297105789185,0.5598986148834229,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\chilli\murda complex\ulfa_field_Leaf_Curl__1051_.jpg
TRACK_D_CROSS_CROP,Tomato,Cross-Crop: Grape,Tomato___Bacterial_spot,5,0.7081392168998718,0.9413379430770874,D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_773.jpg
TRACK_A_INTERNAL,Sugarcane,Mosaic / Viral Disease,Healthy Leaves,5,0.6764841437339782,0.9363861680030824,D:\CropDiseaseProject\sugarcane_maharashtra\Mosaic\mosaic (193).jpeg
TRACK_D_CROSS_CROP,Sugarcane,Cross-Crop: Tomato,Rust (Brown Rust),5,0.7228602230548858,0.9540174603462219,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Septoria_leaf_spot\0806cabf-f026-43bd-a508-0e8e5a185341___Matt.S_CG 1266.JPG
TRACK_D_CROSS_CROP,Chilli,Cross-Crop: Grape,cerocospora,5,0.7131052732467651,0.975262463092804,D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_608.jpg
TRACK_C_REALWORLD,Grape,Esca (Black Measles),Powdery Mildew,5,0.7195378184318543,0.9898504018783569,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\grape\Esca (Black Measles)\vineyard_00000041.jpg
TRACK_B_EXTERNAL,Grape,Esca (Black Measles),Powdery Mildew,5,0.7115671396255493,0.9909608960151672,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Esca (Black Measles)\baliwaka_00000007.jpg
